2022-08-24T14:06:12.726,FD, 9, 0, 0,6B, 1, 1,     0,mavlink_heartbeat_t,custom_mode,11,type,1,autopilot,3,base_mode,89,system_status,5,mavlink_version,3,,sig ,Len,21,crc16,42808
2022-08-24T14:06:12.730,FD,1C, 0, 0,6C, 1, 1,    1E,mavlink_attitude_t,time_boot_ms,7819641,roll,-0,02164538,pitch,-0,01203627,yaw,-2,393256,rollspeed,-0,00932257,pitchspeed,0,00124566,yawspeed,-0,0008094952,,sig ,Len,40,crc16,54157
2022-08-24T14:06:12.737,FD,1C, 0, 0,6D, 1, 1,    21,mavlink_global_position_int_t,time_boot_ms,7819641,lat,0,lon,0,alt,-1800,relative_alt,-1802,vx,0,vy,0,vz,0,hdg,22288,,sig ,Len,40,crc16,31184
2022-08-24T14:06:12.745,FD,1F, 0, 0,6E, 1, 1,     1,mavlink_sys_status_t,onboard_control_sensors_present,325188655,onboard_control_sensors_enabled,272759855,onboard_control_sensors_health,51444751,load,19,voltage_battery,0,current_battery,-1,drop_rate_comm,0,errors_comm,0,errors_count1,0,errors_count2,0,errors_count3,0,errors_count4,0,battery_remaining,-1,,sig ,Len,43,crc16,12643
2022-08-24T14:06:12.747,FD, 2, 0, 0,6F, 1, 1,    7D,mavlink_power_status_t,Vcc,5037,Vservo,0,flags,0,,sig ,Len,14,crc16,50130
2022-08-24T14:06:12.750,FD, 7, 0, 0,70, 1, 1,    98,mavlink_meminfo_t,brkval,0,freemem,65535,freemem32,571712,,sig ,Len,19,crc16,47123
2022-08-24T14:06:12.755,FD, C, 0, 0,71, 1, 1,    3E,mavlink_nav_controller_output_t,nav_roll,0,nav_pitch,0,alt_error,101,82,aspd_error,0,xtrack_error,0,nav_bearing,0,target_bearing,0,wp_dist,0,,sig ,Len,24,crc16,42054
2022-08-24T14:06:12.757,FD, 1, 0, 0,72, 1, 1,    2A,mavlink_mission_current_t,seq,0,,sig ,Len,13,crc16,19334
2022-08-24T14:06:12.762,FD,11, 0, 0,73, 1, 1,    4A,mavlink_vfr_hud_t,airspeed,0,groundspeed,0,alt,-1,8,climb,0,heading,222,throttle,0,,sig ,Len,29,crc16,34877
2022-08-24T14:06:12.766,FD, C, 0, 0,74, 1, 1,    24,mavlink_servo_output_raw_t,time_usec,3524674107,servo1_raw,1508,servo2_raw,1504,servo3_raw,1100,servo4_raw,1504,servo5_raw,0,servo6_raw,0,servo7_raw,0,servo8_raw,0,port,0,servo9_raw,0,servo10_raw,0,servo11_raw,0,servo12_raw,0,servo13_raw,0,servo14_raw,0,servo15_raw,0,servo16_raw,0,,sig ,Len,24,crc16,62244
2022-08-24T14:06:12.775,FD,2A, 0, 0,75, 1, 1,    41,mavlink_rc_channels_t,time_boot_ms,7819641,chan1_raw,1500,chan2_raw,1500,chan3_raw,0,chan4_raw,1500,chan5_raw,0,chan6_raw,0,chan7_raw,0,chan8_raw,0,chan9_raw,0,chan10_raw,0,chan11_raw,0,chan12_raw,0,chan13_raw,0,chan14_raw,0,chan15_raw,0,chan16_raw,0,chan17_raw,0,chan18_raw,0,chancount,0,rssi,255,,sig ,Len,54,crc16,33208
2022-08-24T14:06:12.783,FD,1D, 0, 0,76, 1, 1,    1B,mavlink_raw_imu_t,time_usec,7819641444,xacc,5,yacc,10,zacc,-995,xgyro,-7,ygyro,1,zgyro,0,xmag,229,ymag,-253,zmag,507,id,0,temperature,5033,,sig ,Len,41,crc16,34923
2022-08-24T14:06:12.789,FD,18, 0, 0,77, 1, 1,    74,mavlink_scaled_imu2_t,time_boot_ms,7819641,xacc,1,yacc,16,zacc,-995,xgyro,-10,ygyro,0,zgyro,0,xmag,-122,ymag,101,zmag,906,temperature,5078,,sig ,Len,36,crc16,56416
2022-08-24T14:06:12.793,FD, E, 0, 0,78, 1, 1,    1D,mavlink_scaled_pressure_t,time_boot_ms,7819641,press_abs,1021,684,press_diff,0,temperature,4909,temperature_press_diff,0,,sig ,Len,26,crc16,3781
